"formationid";"formationtitle";"moduleid";"moduleorder";"moduletitle";"moduledescription"
"619";"Formation Microsoft 365 Word Initiation";"85808";"3";"Insérer et gérer des tableaux, des symboles et des images";"<p>Insérer et mettre en forme des tableaux<br />Aligner le texte dans les cellules<br />Fusionner et fractionner les cellules<br />Gérer les bordures<br />Insérer des caractères spéciaux et des Emoji<br />Insérer et gérer des images<br />Modifier la position, l&rsquo;habillage, le style d&rsquo;une image<br />Modifier la taille, rogner, pivoter une image</p>"
"619";"Formation Microsoft 365 Word Initiation";"85811";"4";"Partager et coéditer des documents";"<p>Bonnes pratiques de partage de documents<br />Travailler à plusieurs et en même temps sur un document<br />Co-produire avec l&rsquo;aide des commentaires (ajout, volet dédié, réviser, supprimer des commentaires)</p>"
"620";"Formation Microsoft 365 Excel Révisions et perfectionnement";"89437";"0";"Révisions";"<p>Connexion au portail Microsoft 365<br />Spécificité de la gestion des fichiers avec Excel Online (création, ouverture …)<br />Astuces sélection, déplacement et mise en forme<br />Tris et filtres automatiques</p>"
"620";"Formation Microsoft 365 Excel Révisions et perfectionnement";"89438";"1";"Formules et fonctions avancées";"<p>   Définir des valeurs fixes dans les calculs (références absolues)<br />Utiliser les fonctions de condition (SI, NB.SI, SOMME.SI, SIERREUR)<br />Fonctions de recherche (RECHERCHEV, RECHERCHEX)<br />Autres fonctions selon besoins : de date, d&rsquo;heure, de texte …</p>"
"620";"Formation Microsoft 365 Excel Révisions et perfectionnement";"89439";"2";"Gestion des listes de données";"<p>   Définir des données sous forme de « Tableau » de données<br />Avantage de définir des données sous forme de tableau (Ligne de titre figée, sélections …)<br />Mise en forme automatique d&rsquo;un « Tableau »<br />Ajout de colonne avec formule et recopie automatique<br />   Mise en forme conditionnelle<br />   Remplissage instantané<br />   Validation des données<br />Contrôler la saisie<br />Afficher des listes déroulantes dans les cellules</p>"
"620";"Formation Microsoft 365 Excel Révisions et perfectionnement";"89440";"3";"Tableaux croisés dynamiques (TCD)";"<p>Préparer les données sources d&rsquo;un TCD<br />(intérêt de définir les données sources sous forme de « Tableau »)<br />Créer un TCD<br />Modifier la structure d&rsquo;un TCD<br />Trier, filtrer les données d&rsquo;un TCD<br />Modifier les paramètres d&rsquo;un TCD</p>"
"620";"Formation Microsoft 365 Excel Révisions et perfectionnement";"89441";"4";"Partage et coédition des fichiers";"<p>Bonnes pratiques de partage de fichiers<br />Travailler à plusieurs et en même temps sur un fichier<br />Co-produire avec l&rsquo;aide des commentaires (ajout, volet dédié, réviser, supprimer des commentaires)</p>"
"620";"Formation Microsoft 365 Excel Révisions et perfectionnement";"89442";"5";"Graphiques avancés";"Choix des données (créer et modifier)<br>Placer le graphique en tant qu’objet<br>Placer le graphique sur une nouvelle feuille<br>Modifier le type de graphique<br>Modifier les données sources<br>Modifier les options<br>SPARKLINES"
"621";"Formation Microsoft 365 Excel Initiation";"85819";"0";"Généralités";"<p>Connexion au portail Microsoft 365<br />Description de l&rsquo;environnement<br />Utilisation du ruban simplifié ou du ruban classique</p>"
"621";"Formation Microsoft 365 Excel Initiation";"85820";"1";"Création et gestion des classeurs";"<p>   Créer un nouveau classeur<br />A partir de l&rsquo;icône de l&rsquo;application Excel Online<br />A partir d&rsquo;un dossier de OneDrive (ou autre comme Teams, SharePoint …)<br />   Enregistrer, renommer un classeur<br />Notion d&rsquo;enregistrement automatique<br />Renommer un classeur<br />Télécharger en tant que fichier PDF<br />   Ouvrir un classeur<br />Depuis  » Récents « ,  » Epinglés « ,  » Partagés avec moi « ,  » A découvrir  »<br />Depuis OneDrive (ou autre comme Teams, SharePoint …)</p>"
"621";"Formation Microsoft 365 Excel Initiation";"85821";"2";"Création, mise en forme des tableaux avec des formules simples";"<p>Saisir et modifier des données (texte, nombres, dates, séries de données)<br />Se déplacer, sélectionner efficacement les cellules<br />Utiliser les formules de calcul simples (addition, soustraction, multiplication et division) et la somme automatique<br />Utiliser des fonctions statistiques (MOYENNE, MAX, …)<br />Gérer les lignes et colonnes (Insérer, supprimer, hauteur, largeur)<br />Mettre en forme les cellules<br /> Attributs de caractères (police, taille, style)<br /> Alignements<br /> Format de nombre<br /> Bordures et motifs<br />Impression et options d&rsquo;impression<br />Gérer les feuilles<br /> Insérer, déplacer et copier des feuilles<br /> Modifier le nom d’une feuille<br /> Modifier la couleur des onglets</p>"
"621";"Formation Microsoft 365 Excel Initiation";"85822";"3";"Manipulation des données dans les tableaux sous forme de liste";"<p>Figer les volets<br />Trier les données<br />Utiliser les filtres automatiques</p>"
"621";"Formation Microsoft 365 Excel Initiation";"85823";"4";"Graphiques";"<p>Sélectionner efficacement les données sources du graphique<br />Créer, positionner un graphique<br />Personnaliser la présentation d&rsquo;un graphique</p>"
"621";"Formation Microsoft 365 Excel Initiation";"85824";"5";"Partage et coédition des fichiers";"<p>Bonnes pratiques de partage de fichiers<br />Travailler à plusieurs et en même temps sur un fichier<br />Co-produire avec l&rsquo;aide des commentaires (ajout, volet dédié, réviser, supprimer des commentaires)</p>"
"622";"Formation Python Développement Objet ";"130777";"0";"SYNTAXE DU LANGAGE PYTHON";"<p>Les identifiants et les références<br />Les conventions de codage et les règles de nommage<br />Les blocs, les commentaires<br />Les types de données disponibles<br />Les variables, l’affichage formaté, la portée locale et globale<br />La manipulation des types numériques, la manipulation de chaînes de caractères<br />La manipulation des tableaux dynamiques (liste), des tableaux statiques (tuple) et des dictionnaires<br />L’utilisation des fichiers<br />La structure conditionnelle if/elif/else<br />Les opérateurs logiques et les opérateurs de comparaison<br />Les boucles d’itérations while et for<br />Interruption d’itérations break/continue<br />La fonction range<br />L’écriture et la documentation de fonctions<br />Les Lambda expression<br />Les générateurs<br />La structuration du code en modules<br />Travaux pratiques : installation et prise en main de l’interpréteur Python</p>"
"622";"Formation Python Développement Objet ";"130778";"1";"UTILISATION STDLIB";"<p>Les arguments passés sur la ligne de commande<br />L’utilisation du moteur d’expressions régulières Python avec le module “re”, les caractères spéciaux, les cardinalités<br />La manipulation du système de fichiers<br />Présentation de quelques modules importants de la bibliothèque standard : module “sys”, “os”, “os.path”<br />Empaquetage et installation d’une bibliothèque Python<br />Les accès aux bases de données relationnelles, le fonctionnement de la DB API<br />Travaux pratiques : mise en oeuvre de modules Python : expressions régulières, accès à une base de données</p>"
"622";"Formation Python Développement Objet ";"130779";"2";"APPROCHE ORIENTÉE OBJET";"<p>Les principes du paradigme Objet<br />La définition d’un objet (état, comportement, identité)<br />La notion de classe, d’attributs et de méthodes<br />L’encapsulation des données<br />La communication entre les objets<br />L’héritage, transmission des caractéristiques d’une classe<br />La notion de polymorphisme<br />Association entre classes<br />Les interfaces<br />Présentation d’UML<br />Les diagrammes de classes, de séquences, d’activités&#8230;<br />Notion de modèle de conception (Design Pattern)<br />Travaux pratiques : modélisation en UML d’un cas d’étude simple</p>"
"622";"Formation Python Développement Objet ";"130780";"3";"PROGRAMMATION OBJET EN PYTHON";"<p>Les particularités du modèle objet de Python<br />L’écriture de classes et leur instanciation<br />Les constructeurs et les destructeurs<br />La protection d’accès des attributs et des méthodes<br />La nécessité du paramètre Self<br />L’héritage simple, l’héritage multiple, le polymorphisme<br />Les notions de visibilités<br />Les méthodes spéciales<br />L’introspection<br />L’implémentation des interfaces<br />Les bonnes pratiques et les modèles de conception courants<br />L’utilisation du mécanisme d’exception pour la gestion des erreurs<br />Travaux pratiques : pratique des différents concepts objet au travers de l’implantation de l’étude de cas</p>"
"622";"Formation Python Développement Objet ";"130781";"4";"OUTILS QA";"<p>Les outils d’analyse statique de code (Pylint, Pychecker)<br />L’analyse des comptes rendus d’analyse (types de messages, avertissements, erreurs)<br />Extraction automatique de documentation<br />Le débogueur de Python (exécution pas à pas et analyse post-mortem)<br />Le développement piloté par les tests<br />Les modules de tests unitaires Python (Unittest&#8230;)<br />L’automatisation des tests, l’agrégation de tests<br />Les tests de couverture de code, profiling<br />Travaux pratiques : utilisation des outils pylint et pychecker pour la vérification d’un code Python ; mise en oeuvre de tests unitaires</p>"
"622";"Formation Python Développement Objet ";"130782";"5";"CRÉATION IHM TKINTER";"<p>Les principes de programmation des interfaces graphiques<br />Présentation de la bibliothèque TkInter<br />Les principaux conteneurs<br />Présentation des widgets disponibles (Button, Radiobutton, Entry, Label, Listbox, Canvas, Menu, Scrollbar, Text&#8230;)<br />Le gestionnaire de fenêtres<br />Le placement des composants, les différents layouts<br />La gestion des événements, l’objet event<br />Les applications multi-fenêtres<br />Travaux pratiques : conception d’une interface graphique avec la bibliothèque Tkinter</p>"
"622";"Formation Python Développement Objet ";"130783";"6";"INTERFAÇAGE PYTHON/C";"<p>Présentation du module Ctypes<br />Le chargement d’une librairie C<br />Appel d’une fonction<br />La réécriture d’une fonction Python en C avec l’API Python/C<br />La création de modules C pour Python avec Pyrex<br />L’interpréteur Python dans C<br />L’utilisation du profileur de code<br />Travaux pratiques : appel de fonctions écrites en C depuis Python ; création de modules C pour Python avec Pyrex</p>"
"623";"Formation ITIL® 4 Foundation ";"125155";"0";"CONCEPTS CLÉS DE LA GESTION DES SERVICES";"<p>Gestion des services, valeur et service<br />Organisations et co-création de valeur<br />Les rôles de consommateur de services<br />Configurer des ressources pour la création de valeur<br />Offres de service<br />Relations de service<br />Valeur, résultats, coûts et risques<br />Comprendre l’utilité et la garantie</p>"
"623";"Formation ITIL® 4 Foundation ";"125156";"1";"SYSTÈME DE VALEUR DES SERVICES (SVS)";"<p>Vue d’ensemble<br />Opportunité, demande, valeur<br />Principes directeurs<br />Gouvernance 30<br />Chaîne de valeur des services (SVC)<br />Pratiques<br />Amélioration continue</p>"
"623";"Formation ITIL® 4 Foundation ";"125157";"2";"PRINCIPES DIRECTEURS ITIL";"<p>Vue d’ensemble<br />Privilégier la valeur<br />Commencez là où vous êtes<br />Avancer par itérations avec des retours<br />Collaborer et promouvoir la visibilité<br />Penser et travailler de façon holistique<br />Opter pour la simplicité et rester pratique<br />Optimiser et automatiser</p>"
"623";"Formation ITIL® 4 Foundation ";"125158";"3";"QUATRE DIMENSIONS DE LA GESTION DES SERVICES";"<p>Vue d’ensemble<br />Dimension “organisations et personnes”<br />Dimension “partenaires et fournisseurs”<br />Dimension “flux de valeur et processus”<br />Dimension “information et technologie”<br />Facteurs externes</p>"
"623";"Formation ITIL® 4 Foundation ";"125159";"4";"CHAÎNE DE VALEUR DES SERVICES ITIL (SVC)";"<p>Vue d’ensemble Activité “Planifier”<br />Activité “Améliorer”<br />Activité “Impliquer”<br />Activité “Conception et Transition”<br />Activité “Obtenir/Construire”<br />Activité “Fournir et Soutenir”<br />Exemple de modèle de flux de valeur « Développement d’un nouveau service »<br />Exemple de modèle de flux de valeur « Restauration d’un service en production »</p>"
"623";"Formation ITIL® 4 Foundation ";"125160";"5";"PRATIQUES DE GESTION GÉNÉRALE";"<p>Vue d’ensemble<br />Pratique d’amélioration continue<br />Pratique de gestion de la sécurité de l’information<br />Pratique de gestion des relations<br />Pratique de gestion des fournisseurs</p>"
"623";"Formation ITIL® 4 Foundation ";"125161";"6";"PRATIQUES DE GESTION DES SERVICES";"<p>Vue d’ensemble<br />Pratique de gestion des niveaux de service<br />Pratique de gestion des actifs informatiques<br />Pratique de gestion de la configuration des services<br />Pratique de surveillance et de gestion des évènements<br />Pratique de centre de services<br />Pratique de gestion des demandes de service<br />Pratique de gestion des incidents<br />Pratique de gestion des problèmes<br />Pratique d’habilitation des changements<br />Pratique de gestion des mises en production</p>"
"623";"Formation ITIL® 4 Foundation ";"125162";"7";"PRATIQUES DE GESTION TECHNIQUE";"<p>Vue d’ensemble<br />Pratique de gestion des déploiements</p>"
"624";"Formation certifiante Méthode Agile Scrum- Product Owner - PSPO1 Examen inclus ";"129674";"0";"L'Agilité c'est quoi ?";"Les racines de l'Agilité<div>Le manifeste Agile &amp; ses 12 principes</div><div>Un cycle de vie différent</div><div>Serious Game : Artistes et spécifieurs</div>"
"624";"Formation certifiante Méthode Agile Scrum- Product Owner - PSPO1 Examen inclus ";"129675";"1";"La méthode Scrum";"Les 3 piliers de Scrum<div>L'équipe Scrum, les 3 rôles (Product Owner, Scrum Master, Équipier)</div><div>Les responsabilités de chaque rôle</div><div>Les pratiques d'ingénierie agiles du logiciel</div><div>Serious Game : Lego4Scrum découverte Scrum par la pratique des légos</div>"
"624";"Formation certifiante Méthode Agile Scrum- Product Owner - PSPO1 Examen inclus ";"129676";"2";"Le Product Owner en détail";"Celui qui définit la vision produit<div>Un raisonnement dirigé par la Business Value</div><div>Le garant du ROI (Retour Sur Investissement)</div><div>Identifier les Features et les Personas</div><div>Prioriser le Backlog</div><div>Atelier : Définition de la vision produit &amp; rédaction de Features</div>"
"624";"Formation certifiante Méthode Agile Scrum- Product Owner - PSPO1 Examen inclus ";"129677";"3";"Le Backlog de produit";"Cycle de vie d'une User Story<div>Rédiger les Users Stories à partir des Features</div><div>Découper, détailler et prioriser les Users Stories dans le Backlog de produit</div><div>Business Value et Effort quelles différences ?</div><div>Atelier : Rédaction / découpage de Users Stories et écriture des critères d'acceptations</div>"
"624";"Formation certifiante Méthode Agile Scrum- Product Owner - PSPO1 Examen inclus ";"129678";"4";"Gestion du backlog et préparation du Sprint";"Techniques d'estimations des Users Stories Priorisation &amp; plans (Périmètre fixé, Date fixée)<div>Vélocité estimée &amp; mesurée de l'équipe Définition de prêt et de fini</div><div>Atelier : Animation session estimation par Planning poker</div>"
"624";"Formation certifiante Méthode Agile Scrum- Product Owner - PSPO1 Examen inclus ";"129679";"5";"Démarrage et déroulé du Sprint";"Planification de sprint<div>Le Daily Scrum : 3 questions quotidiennes</div><div>Gestion des impondérables</div><div>L'avancement du sprint</div><div>Les tests dans un contexte Agile</div><div>Atelier : Session de planification de sprint : Création des tâches</div><div>Innovation game : Scrum from Hell</div><div>Atelier : Déroulé de sprint complet avec Daily scrum</div>"
"624";"Formation certifiante Méthode Agile Scrum- Product Owner - PSPO1 Examen inclus ";"129680";"6";"Prendre en compte le Feedback et fin de Sprint";"Prendre en compte le changement L'intérêt de la démo et des incréments partiels<div>S'améliorer à intervalles réguliers</div><div>La ""sprint retrospective""</div><div>Atelier : Sprint review avec des stakeholders</div><div>Innovation game : Animation d'un rétrospective avec le Speed boat</div>"
"624";"Formation certifiante Méthode Agile Scrum- Product Owner - PSPO1 Examen inclus ";"129681";"7";"Les outils de suivi du Product Owner";"Suivre le projet<div>Indicateurs et Key Performance Indicators (KPI)</div><div>Suivre la qualité</div><div>Comprendre les graphiques : Burndown / Burnup etc.. de Scrum et Kanban</div>"
"624";"Formation certifiante Méthode Agile Scrum- Product Owner - PSPO1 Examen inclus ";"129682";"8";"Préparation à la certification";"Passage d'un test blanc en situation réelle<div>Travail de groupe et correction</div><div>Préconisations et mode d'emploi, les pièges à éviter</div>"
"625";"Formation Power Automate ";"134555";"0";"Introduction";"<p>Power Automate, c’est quoi?<br />Les principales fonctionnalités de Power Automate<br />C’est quoi un flux?<br />Les types de flux<br />Configuration de l&rsquo;environnement</p>"
"625";"Formation Power Automate ";"134556";"1";"Créez et exécutez votre premier flux à l'aide de connecteurs et de modèles simples";"<p>Création d&rsquo;un flux à partir d&rsquo;une Template<br />Comprendre les modèles de flux<br />Lancer votre premier flux<br />Page de détail du flux<br />Diagrammes de flux<br />Modifications et suivi du flux<br />Partager des flux<br />Flux sur votre téléphone<br />Créer un flux automatisé à partir d&rsquo;un modèle<br />Connecteurs (Twitter)<br />Modification des paramètres de flux automatisés<br />Flux Twitter en action<br />Créer vos propres modèles<br />Désactiver un flux</p>"
"625";"Formation Power Automate ";"134557";"2";"Créez votre propre flux à partir de zéro et découvrez les déclencheurs, les actions et le contenu dynamique";"<p>Créer un flux à partir de zéro<br />Créer un déclencheur<br />Créer une action<br />Contenu dynamique<br />Contenu dynamique au travail<br />Introduction aux expressions<br />Exercice d&rsquo;expression et tests<br />Trucs et astuces pour développer et tester votre flux<br />Cas d&rsquo;utilisation d&rsquo;ajout d&rsquo;actions<br />Ajouter plusieurs actions<br />Modification des paramètres d&rsquo;action<br />Ajouter des cartes Trello et tester de nouvelles actions<br />Options avancées sur les actions<br />Définition dynamique des données à l&rsquo;aide d&rsquo;expressions<br />Introduction aux fonctions intégrées<br />Introduction aux conditions<br />Flux programmés<br />Exemple de flux planifié<br />Exécution de flux planifiés<br />Action de retard</p>"
"625";"Formation Power Automate ";"134558";"3";"Créer des flux avec des contrôles complexes, des approbations et des connecteurs avancés";"<p>Différents types d&rsquo;entrée<br />Application de différents types d&rsquo;entrée<br />Test de différents types d&rsquo;entrée<br />Déclenchement à l&rsquo;aide de l&rsquo;application PowerApps<br />Test de l&rsquo;intégration PowerApps<br />Gestion des erreurs avec l&rsquo;application PowerApps<br />Introduction aux requêtes HTTP<br />Faire des requêtes de déclenchement HTTP<br />Test des requêtes de déclencheur HTTP<br />Branches parallèles<br />Introduction aux approbations<br />Création d&rsquo;un flux d&rsquo;approbation simple 1<br />Créer un flux d&rsquo;approbation simple 2<br />Approbations sur votre téléphone<br />Approbations multi-options<br />Les approbations multi-options en action<br />Introduction à la documentation<br />Processus de documentation<br />Référence de la fonction d&rsquo;expression<br />Aperçu des fonctions intégrées<br />Création d&rsquo;instructions switch<br />Basculer les instructions en action<br />Mettre fin à l&rsquo;action<br />Appliquer à chaque fonction (boucles)<br />Appliquer à chaque fonction en action (boucles)<br />Introduction à la fonction Do Until (boucles)<br />Configuration de la fonction Do Until (boucles)<br />Exemple de Do Until (boucles)<br />Les variables<br />Do Until avec des variables (boucles)<br />Gestion des erreurs<br />Test de débit variable<br />les requêtes HTTP<br />Opérations sur les données &#8211; analyse JSON<br />Connecteur de planification<br />Connecteurs transformatifs (date / heure, texte, nombre)<br />Exemple de connecteurs transformatifs<br />Jetons de déclenchement de bouton<br />Exemple de jeton de déclenchement de bouton</p>"
"626";"Formation Excel initiation Créer et présenter des tableaux et des graphiques simples";"85861";"0";"Découvrir l'environnement de travail";"<p>L&rsquo;application Excel et l&rsquo;organisation d&rsquo;un classeur (feuilles, colonnes, lignes, cellules et plages)<br />Comprendre l&rsquo;ergonomie du Ruban</p>"
"626";"Formation Excel initiation Créer et présenter des tableaux et des graphiques simples";"85862";"1";"Enregistrer et gérer les fichiers (classeurs)";"<p>Créer de nouveaux fichiers (classeurs)<br />Enregistrer et classer efficacement ses fichiers<br />Accéder aux fichiers existants en navigant aisément dans les dossiers</p>"
"626";"Formation Excel initiation Créer et présenter des tableaux et des graphiques simples";"85863";"2";"Créer des tableaux avec des formules simples";"<p>Saisir et modifier des données (texte, nombres, dates)<br />Dupliquer et déplacer les données<br />Utiliser les séries de données<br />Se déplacer rapidement dans un tableau<br />Sélectionner efficacement des plages de cellules<br />Utiliser les formules de calcul simples (addition, soustraction, multiplication et division) et la somme automatique<br />Recopier les formules</p>"
"626";"Formation Excel initiation Créer et présenter des tableaux et des graphiques simples";"85860";"3";"Gérer les feuilles";"<p>Insérer, déplacer et copier des feuilles<br />Modifier le nom d&rsquo;une feuille<br />Modifier la couleur des onglets</p>"
"626";"Formation Excel initiation Créer et présenter des tableaux et des graphiques simples";"85858";"4";"Mettre en forme des tableaux";"<p>Insérer, supprimer des lignes et des colonnes<br />Modifier les attributs de caractères (police, taille, style)<br />Aligner du texte dans les cellules<br />Définir ou ajuster les largeurs de colonnes et hauteur de lignes<br />Utiliser les encadrements et motifs de remplissage<br />Formater des nombres (monétaire, %, dates, …)</p>"
"626";"Formation Excel initiation Créer et présenter des tableaux et des graphiques simples";"85859";"5";"Manipuler les données dans les tableaux longs";"<p>Figer les volets<br />Répéter les lignes de titre en haut de chaque page<br />Trier les données (sur les valeurs, sur les couleurs de police ou cellules)<br />Utiliser les filtres automatiques<br />Utiliser la mise en forme conditionnelle simple</p>"
"626";"Formation Excel initiation Créer et présenter des tableaux et des graphiques simples";"85856";"6";"Découvrir les graphiques d'Excel";"<p>Principes de conception<br />Sélectionner efficacement les données d&rsquo;un tableau et créer des graphiques<br />Déplacer, redimensionner les graphiques<br />Ajouter des éléments à un graphique<br />Personnaliser les éléments d&rsquo;un graphique<br />Imprimer et choisir les options d&rsquo;impression</p>"
"626";"Formation Excel initiation Créer et présenter des tableaux et des graphiques simples";"85857";"7";"Mettre en page et imprimer";"<p>Utiliser l&rsquo;aperçu avant impression<br />Personnaliser les marges, les en-têtes et pieds de page<br />Définir les paramètres d&rsquo;impression</p>"
"626";"Formation Excel initiation Créer et présenter des tableaux et des graphiques simples";"85864";"8";"Créer des formules statistiques et utiliser des valeurs fixes";"<p>Utiliser des fonctions statistiques simples (MOYENNE, MAX, NBVAL…)<br />Définir des valeurs fixes dans les calculs (références absolues)</p>"
"627";"Formation Excel niveau Intermédiaire Révisions approfondissement et approche T.C.D.";"97668";"0";"Révisions et astuces";"<p>Astuces de saisie<br />Astuces de déplacement et sélection<br />Mettre en forme des tableaux<br />Mettre en page et imprimer<br />Créer des formules de calcul simples (somme automatique, soustraction, multiplication et division)<br />Gérer les feuilles (Insérer, renommer, dupliquer, modifier la couleur de l&rsquo;onglet)</p>"
"627";"Formation Excel niveau Intermédiaire Révisions approfondissement et approche T.C.D.";"97669";"1";"Formules et fonctions";"<p>Définir des valeurs fixes dans les calculs (références absolues)<br>Utiliser des fonctions statistiques (MOYENNE, MAX, …)<br>Utiliser les fonctions de condition (SI, NB.SI, SOMME.SI,)<br>Fonction de recherche (RECHERCHEX)</p>"
"627";"Formation Excel niveau Intermédiaire Révisions approfondissement et approche T.C.D.";"97670";"2";"Graphiques";"<p>Sélectionner les données et créer un graphique<br />Personnalisation d&rsquo;un graphique<br />Présentation des onglets et du menu contextuel permettant la personnalisation des graphiques</p>"
"627";"Formation Excel niveau Intermédiaire Révisions approfondissement et approche T.C.D.";"97671";"3";"Gestion des tableaux longs (liste de données) et approche des tableaux croisés dynamiques";"<p>Définir et manipuler les données sous forme de « Tableau »<br />Définir des données sous forme de « Tableau » de données<br />Avantage de définir des données sous forme de tableau (Ligne de titre figée, sélections …)<br />Mise en forme automatique d&rsquo;un « Tableau »<br />Ajout de colonne avec formule et recopie automatique<br />Utiliser les filtres automatiques<br />Trier les données<br />Mise en forme conditionnelle<br />Suppression des doublons<br />Approche des tableaux croisés dynamiques<br />Préparer les données sources d&rsquo;un tableau croisé dynamique (intérêt de définir les données sources sous forme de « Tableau »)<br />Créer un tableau croisé dynamique<br />Modifier la structure d&rsquo;un tableau croisé dynamique</p>"
"628";"Formation Administrer la publication des rapports Power BI";"109487";"0";"Publication sur un serveur local avec Power BI Report Server";"<p>Télécharger et installer le serveur<br />Configurer le serveur Report Server (sites Web et base de données)<br />Télécharger et installer Power BI Desktop pour Report Server<br />Publier un rapport Power BI sur Report Server<br />Comparaison des options entre les rapports Power BI et les rapports paginés (SQL Server Reporting Services)<br />Gérer les dossiers et les droits d&rsquo;accès aux rapports</p>"
"628";"Formation Administrer la publication des rapports Power BI";"109488";"1";"Publication dans le Cloud avec Power BI Service";"<p>Créer un Tenant de test Office 365<br />Accéder à Power BI Service pour créer un environnement de test avec un abonnement Power BI Pro<br />Créer des d&rsquo;utilisateurs<br />Gérer les partages<br />Récupérer les données des rapports au format CSV<br />Installer et paramétrer la passerelle<br />Mettre en œuvre le mode hybride<br />Publier des éléments graphiques de rapports Power BI Report Server sur Power BI Service.</p>"
"629";"Formation Excel Power BI Desktop ";"128508";"0";"A qui s'adresse Power BI Desktop ?";"<p>Présentation de Power BI Desktop<br />A qui cela s’adresse t il ?<br />Installation<br />Demos simples – Navigation dans Power Bi Desktop</p><div></div>"
"629";"Formation Excel Power BI Desktop ";"128509";"1";"Construire son modèle de données";"<p>Connexion aux sources de données<br />Distinguer tables de faits et de dimensions<br />Comprendre la Mise en relation – Schéma en étoiles<br />Exemples de 1eres Mesures Dax et Colonne Calculées</p>"
"629";"Formation Excel Power BI Desktop ";"128510";"2";"Transformer les données dans l'éditeur de requêtes ";"<p>Combiner des dossiers contenant des classeurs<br />Ajouter des feuilles d’un classeur<br />Comprendre la fusion entre 2 tables<br />Cas exemples de transformation avec les étapes appliquées (extraire, fractionner, fusionner, transposer, colonne personnalisée, depivoter, regrouper par…)</p>"
"629";"Formation Excel Power BI Desktop ";"128511";"3";"Création d’un rapport simple de gestion – cas concret";"<p><span style=""font-size: 11.0pt; font-family: 'Calibri',sans-serif; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-ansi-language: FR; mso-fareast-language: FR; mso-bidi-language: AR-SA;"">Import des données et réalisation du modèle (sans transformation)<br />Elaborations des mesures calculées (DAX)<br />utiles pour la restitution<br />Techniques de visualisations dans le rapport<br />Publication du rapport dans le service (cloud)</span></p>"
"630";"Formation Excel Power Query Niveau 2 Fonctionnalités avancées et approche langage M";"109476";"0";"Révisions";"<p>Cumuler les données de plusieurs feuilles d’Excel, de plusieurs classeurs</p>"
"630";"Formation Excel Power Query Niveau 2 Fonctionnalités avancées et approche langage M";"109477";"1";"Pourquoi modifier le langage M";"<p>Découvrir le langage M dans l’éditeur avancé<br />Comprendre et respecter les règles de syntaxe<br />Modifier le code pour éviter d&rsquo;ajouter des étapes<br />Ajouter des commentaires</p>"
"630";"Formation Excel Power Query Niveau 2 Fonctionnalités avancées et approche langage M";"109478";"2";"Découvrir des fonctions du langage M";"<p>Afficher l’aide des fonctions dans l’éditeur avancé<br />Utiliser des fonctions de conversion de valeurs (date, texte et nombre)<br />Utiliser les fonctions de manipulation des dates<br />Utiliser les fonctions de texte (Text.Start, Text.End, Text.Middle, Text.Upper, …)<br />Découvrir les fonctions de conditions complexes (avec calculs, avec plusieurs critères, avec la gestion d’erreur…)<br />Comprendre la notion d’agrégation</p>"
"630";"Formation Excel Power Query Niveau 2 Fonctionnalités avancées et approche langage M";"109479";"3";"Créer des fonctions personnalisées";"<p>Créer des fonctions personnalisées pour simplifier les étapes et les calculs<br />Créer une fonction de filtre</p>"
"630";"Formation Excel Power Query Niveau 2 Fonctionnalités avancées et approche langage M";"109480";"4";"Créer une requête paramétrée";"<p>Rendre dynamique le chemin d&rsquo;une source<br />Appliquer une requête sur plusieurs sources<br />Exécuter une requête plusieurs fois, sur plusieurs critères</p>"
"630";"Formation Excel Power Query Niveau 2 Fonctionnalités avancées et approche langage M";"109481";"5";"Créer une table";"<p>Créer une table calendrier pour gérer efficacement les dates</p>"
"631";"Formation Excel Power Query Niveau 1 ";"130562";"0";"Présentation générale de Power Query";""
"631";"Formation Excel Power Query Niveau 1 ";"130563";"1";"Importer, se connecter aux données sources";"<p>A partir de « Tableaux » du classeur actif, à partir d&rsquo;autres fichiers Excel<br />A partir de fichiers .csv, .txt<br />A partir de base de données comme Access<br />A partir du Web et autres sources de données</p>"
"631";"Formation Excel Power Query Niveau 1 ";"130564";"2";"Transformer, structurer les données dans l'Editeur de requête";"<p>Trier et filtrer les données<br />Transformer, formater les données<br />Fractionner les données d&rsquo;une colonne<br />Extraire des données<br />Remplacer des valeurs<br />Ajouter des colonnes (de valeurs, calculées, conditionnelles …)<br />Grouper des lignes, ajouter des fonctions statistiques<br />Pivoter, dépivoter des données</p>"
"631";"Formation Excel Power Query Niveau 1 ";"130565";"3";"Croiser, cumuler des données de plusieurs sources";"<p>Croiser, fusionner des données de plusieurs sources  (équivalent de la fonction RECHERCHEV dans Excel)<br />Cumuler, ajouter les données de plusieurs sources les unes à la suite des autres<br />provenant de plusieurs tableaux Excel du classeur actif ou de plusieurs fichiers<br />provenant de plusieurs sources externe (csv, txt &#8230;)<br />provenant de tous les fichiers d&rsquo;un dossier</p>"
